,Value
13:10:20,18.75
13:10:20,18.75
13:10:21,18.75
13:10:21,18.5
13:10:21,18.25
13:10:21,18.75
13:10:22,18.0
13:10:22,18.75
13:10:22,19.0
13:10:22,17.75
13:10:22,18.5
13:10:23,18.5
13:10:23,18.5
13:10:23,18.5
13:10:23,18.25
13:10:24,18.0
13:10:24,18.25
13:10:24,18.25
13:10:24,17.75
13:10:25,18.0
13:10:25,18.25
13:10:25,18.25
13:10:25,18.25
13:10:26,18.75
13:10:26,18.75
13:10:26,18.75
13:10:26,18.25
13:10:27,18.75
13:10:27,19.0
13:10:27,18.75
13:10:27,18.25
13:10:28,18.25
13:10:28,18.5
13:10:28,18.5
13:10:28,18.5
13:10:29,18.5
13:10:29,18.25
13:10:29,18.5
13:10:29,18.5
13:10:30,18.5
13:10:30,18.5
13:10:30,18.75
13:10:30,18.5
13:10:31,18.75
13:10:31,17.75
13:10:31,18.5
13:10:31,18.25
13:10:32,18.5
13:10:32,18.25
13:10:32,18.0
13:10:32,18.5
13:10:33,18.25
13:10:33,18.5
13:10:33,18.75
